event_date,report_date,health_zone,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,suspect_cases,suspect_deaths,ruled_out
20180101,20180510,Bikoro,,,,,21,17,
20180510,20180510,Bikoro,2,0,,,9,1,
20180511,20180511,Bikoro,2,0,,,6,0,
20180511,20180511,Iboko,0,0,,,6,1,
20180512,20180512,Bikoro,2,0,,,6,0,
20180512,20180512,Iboko,0,0,,,6,1,
20180514,20180515,Bikoro,2,,18,,12,,
20180514,20180515,Iboko,0,,3,,5,,
20180514,20180515,Wangata,0,,0,,2,, 
20180515,20180516,Bikoro,2,,18,,15,21,
20180515,20180516,Iboko,0,,2,,3,2,
20180515,20180516,Wangata,1,,0,,3,,
20180515,20180516,Ntondo,,,,,,,
20180516,20180517,Bikoro,13,1,19,,4,20,
20180516,20180517,Iboko,1,,0,,3,3,
20180516,20180517,Wangata,1,,,,3,1,
20180516,20180517,Ntondo,,,,,,,
20180517,20180518,Bikoro,10,1,19,,0,20,8
20180517,20180518,Iboko,3,,2,,4,3,
20180517,20180518,Wangata,4,,0,,1,1,
