event_date,report_date,province,health_zone,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,suspect_cases,suspect_deaths,cumulative_hcw,contacts_traced
20180101,20180511,Equateur,Bikoro,,,,,21,17,,
20180505,20180511,Equateur,Bikoro,,,,,26,,,
20180507,20180511,Equateur,Bikoro,2,,,,24,,,
20180509,20180510,Equateur,Bikoro,2,,16,,12,18,3,
20180511,20180511,Equateur,Bikoro,2,,18,,14,18,3,75
20180511,20180514,Equateur,Wangata,,,2,,,,,43
20180513,20180514,Equateur,Bikoro,2,,20,,9,20,2,274
20180513,20180514,Equateur,Iboko,,,3,,5,,1,115
20180515,20180517,Equateur,Wangata,1,,,,3,,,
20180515,20180517,Equateur,Bikoro,2,,18,,15,,2,
20180515,20180517,Equateur,Iboko,,,2,,3,,1,
